﻿Kode Perusahaan;Nama Perusahaan;Tanggal Pencatatan
CBDK;PT Bangun Kosambi Sukses Tbk;13/01/2025
CBMF;PT Cahaya Bintang Medan Tbk;09/04/2020
CBPE;PT Citra Buana Prasida Tbk;06/01/2023
CBRE;PT Cakra Buana Resources Energi Tbk;09/01/2023
CBUT;PT Citra Borneo Utama Tbk;08/11/2022
CCSI;PT Communication Cable Systems Indonesia Tbk.;18/06/2019
CDIA;PT Chandra Daya Investasi Tbk;09/07/2025
CEKA;PT Wilmar Cahaya Indonesia Tbk.;09/07/1996
CENT;PT Centratama Telekomunikasi Indonesia Tbk.;01/11/2001
CFIN;Clipan Finance Indonesia Tbk;27/08/1990
CGAS;PT Citra Nusantara Gemilang Tbk.;08/01/2024
CHEK;PT Diastika Biotekindo Tbk;10/07/2025
CHEM;PT Chemstar Indonesia Tbk;08/07/2022
CHIP;PT Pelita Teknologi Global Tbk;08/02/2023
CINT;PT Chitose Internasional Tbk;27/06/2014
CITA;Cita Mineral Investindo Tbk;20/03/2002
CITY;PT Natura City Developments Tbk.;28/09/2018
CLAY;PT Citra Putra Realty Tbk;18/01/2019
CLEO;PT Sariguna Primatirta Tbk;05/05/2017
CLPI;Colorpak Indonesia Tbk;30/11/2001
CMNP;Citra Marga Nusaphala Persada Tbk;10/01/1995
CMNT;PT Cemindo Gemilang Tbk;08/09/2021
CMPP;PT AirAsia Indonesia Tbk;08/12/1994
CMRY;PT Cisarua Mountain Dairy Tbk;06/12/2021
CNKO;Exploitasi Energi Indonesia Tbk;20/11/2001
CNMA;PT Nusantara Sejahtera Raya Tbk;02/08/2023
CNTX;PT Century Textile Industry Tbk;22/05/1979
COAL;PT Black Diamond Resources Tbk;07/09/2022
COCO;PT Wahana Interfood Nusantara Tbk.;20/03/2019
COIN;PT Indokripto Koin Semesta Tbk;09/07/2025
COWL;COWELL DEVELOPMENT Tbk;19/12/2007
CPIN;Charoen Pokphand Indonesia Tbk;18/03/1991
CPRI;PT Capri Nusa Satu Properti Tbk.;11/04/2019
CPRO;Central Proteina Prima Tbk;28/11/2006
CRAB;PT Toba Surimi Industries Tbk;10/08/2022
CRSN;PT Carsurin Tbk;10/07/2023
CSAP;Catur Sentosa Adiprana Tbk;12/12/2007
CSIS;PT Cahayasakti Investindo Sukses Tbk;10/05/2017
CSMI;PT Cipta Selera Murni Tbk.;09/04/2020
CSRA;PT Cisadane Sawit Raya Tbk.;09/01/2020
CTBN;Citra Tubindo Tbk;28/11/1989
CTRA;Ciputra Development Tbk;28/03/1994
CTTH;Citatah Tbk;03/07/1996
CUAN;PT Petrindo Jaya Kreasi Tbk;08/03/2023
CYBR;PT ITSEC Asia Tbk.;08/08/2023
DAAZ;PT Daaz Bara Lestari Tbk;11/11/2024
DADA;PT Diamond Citra Propertindo Tbk.;14/02/2020
DART;Duta Anggada Realty Tbk;08/05/1990
DATA;PT Remala Abadi Tbk;07/05/2024
DAYA;PT Duta Intidaya Tbk.;28/06/2016
DCII;PT DCI Indonesia Tbk;06/01/2021
DEAL;PT Dewata Freightinternational Tbk.;11/11/2018
DEFI;Danasupra Erapacific Tbk;06/07/2001
DEPO;PT Caturkarda Depo Bangunan Tbk;25/11/2021
DEWA;Darma Henwa Tbk;26/09/2007
DEWI;PT Dewi Shri Farmindo Tbk;18/07/2022
DFAM;PT Dafam Property Indonesia Tbk;27/04/2018
DGIK;Nusa Konstruksi Enjiniring Tbk;19/12/2007
DGNS;PT Diagnos Laboratorium Utama Tbk;15/01/2021
DGWG;PT Delta Giri Wacana Tbk;13/01/2025
DIGI;PT Arkadia Digital Media Tbk;18/09/2018
DILD;Intiland Development Tbk;04/09/1991
DIVA;PT Distribusi Voucher Nusantara Tbk;27/11/2018
DKFT;Central Omega Resources Tbk;21/11/1997
DKHH;PT Cipta Sarana Medika Tbk;08/05/2025
DLTA;Delta Djakarta Tbk;27/02/1984
DMAS;PT Puradelta Lestari Tbk.;29/05/2015
DMMX;PT Digital Mediatama Maxima Tbk;21/10/2019
DMND;PT Diamond Food Indonesia Tbk.;22/01/2020
DNAR;PT Bank Oke Indonesia Tbk.;11/07/2014
DNET;PT Indoritel Makmur Internasional Tbk.;11/12/2000
DOID;PT BUMA Internasional Grup Tbk;15/06/2001
DOOH;PT Era Media Sejahtera Tbk;08/05/2023
DOSS;PT Global Sukses Digital Tbk;07/08/2024
DPNS;Duta Pertiwi Nusantara Tbk;08/08/1990
DPUM;PT Dua Putra Utama Makmur Tbk.;08/12/2015
DRMA;PT Dharma Polimetal Tbk;20/12/2021
DSFI;Dharma Samudera Fishing Ind. Tbk;24/03/2000
DSNG;PT Dharma Satya Nusantara Tbk.;14/06/2013
DSSA;Dian Swastatika Sentosa Tbk;10/12/2009
DUCK;PT Jaya Bersama Indo Tbk.;10/10/2018
DUTI;Duta Pertiwi Tbk;02/11/1994
DVLA;Darya-Varia Laboratoria Tbk;11/11/1994
DWGL;PT Dwi Guna Laksana Tbk;13/12/2017
DYAN;PT Dyandra Media International Tbk.;25/03/2013
EAST;PT Eastparc Hotel Tbk;09/07/2019
ECII;PT Electronic City Indonesia Tbk.;03/07/2013
EDGE;PT Indointernet Tbk.;08/02/2021
EKAD;Ekadharma International Tbk;14/08/1990
ELIT;PT Data Sinergitama Jaya Tbk;06/01/2023
ELPI;PT Pelayaran Nasional Ekalya Purnamasari Tbk;08/08/2022
ELSA;Elnusa Tbk;06/02/2008
ELTY;Bakrieland Development Tbk;30/10/1995
EMDE;Megapolitan Developments Tbk;12/01/2011
EMTK;Elang Mahkota Teknologi Tbk;12/01/2010
ENAK;PT Champ Resto Indonesia Tbk;08/02/2022
ENRG;Energi Mega Persada Tbk;07/06/2004
ENVY;PT Envy Technologies Indonesia Tbk;08/07/2019
ENZO;PT Morenzo Abadi Perkasa Tbk;14/09/2020
EPAC;PT Megalestari Epack Sentosaraya Tbk.;01/07/2020
EPMT;Enseval Putera Megatrading Tbk;01/08/1994
ERAA;Erajaya Swasembada Tbk;14/12/2011
ERAL;PT Sinar Eka Selaras Tbk;08/08/2023
ERTX;Eratex Djaja Tbk;21/08/1990
ESIP;PT Sinergi Inti Plastindo Tbk.;14/11/2019
ESSA;ESSA Industries Indonesia Tbk;01/02/2012
ESTA;PT Esta Multi Usaha Tbk.;09/03/2020
ESTI;Ever Shine Textile Industry Tbk;13/10/1992
ETWA;Eterindo Wahanatama Tbk;16/05/1997
EURO;PT Estee Gold Feet Tbk;08/08/2022
EXCL;PT XLSMART Telecom Sejahtera Tbk;29/09/2005
FAPA;PT FAP Agri Tbk;04/01/2021
FAST;PT Fast Food Indonesia Tbk;11/05/1993
FASW;Fajar Surya Wisesa Tbk;19/12/1994
FILM;PT MD Entertainment Tbk;07/08/2018
FIMP;PT Fimperkasa Utama Tbk;09/04/2021
FIRE;PT Alfa Energi Investama Tbk.;09/06/2017
FISH;FKS Multi Agro Tbk;18/01/2002
FITT;PT Hotel Fitra International Tbk;11/06/2019
FLMC;PT Falmaco Nonwoven Industri Tbk;08/07/2021
FMII;Fortune Mate Indonesia Tbk;30/06/2000
FOLK;PT Multi Garam Utama Tbk.;07/08/2023
FOOD;PT Sentra Food Indonesia Tbk.;08/01/2019
FORE;PT Fore Kopi Indonesia Tbk;14/04/2025
FORU;Fortune Indonesia Tbk;17/01/2002
FPNI;PT Lotte Chemical Titan Tbk.;21/03/2002
FUJI;PT Fuji Finance Indonesia Tbk.;09/07/2019
FUTR;PT Futura Energi Global Tbk;27/02/2023
FWCT;PT Wijaya Cahaya Timber Tbk;01/02/2023
GAMA;Aksara Global Development Tbk;11/07/2012
GDST;Gunawan Dianjaya Steel Tbk;23/12/2009
GDYR;Goodyear Indonesia Tbk;22/12/1980
GEMA;Gema Grahasarana Tbk;12/08/2002
GEMS;Golden Energy Mines Tbk;17/11/2011
GGRM;Gudang Garam Tbk;27/08/1990
GGRP;PT Gunung Raja Paksi Tbk.;19/09/2019
GHON;PT Gihon Telekomunikasi Indonesia Tbk;09/04/2018
GIAA;Garuda Indonesia (Persero) Tbk;11/02/2011
GJTL;Gajah Tunggal Tbk;08/05/1990
GLOB;PT Globe Kita Terang Tbk;10/07/2012
GLVA;PT Galva Technologies Tbk;23/12/2019
GMFI;PT Garuda Maintenance Facility Aero Asia Tbk.;10/10/2017
GMTD;Gowa Makassar Tourism Development Tbk;11/12/2000
GOLD;PT Visi Telekomunikasi Infrastruktur Tbk.;07/07/2010
GOLF;PT Intra GolfLink Resorts Tbk;08/07/2024
GOLL;PT Golden Plantation Tbk;23/12/2014
GOOD;PT Garudafood Putra Putri Jaya Tbk.;10/10/2018
GOTO;PT GoTo Gojek Tokopedia Tbk;11/04/2022
GPRA;Perdana Gapura Prima Tbk;10/10/2007
GPSO;PT Geoprima Solusi Tbk;06/09/2021
GRIA;PT Ingria Pratama Capitalindo Tbk;08/08/2023
GRPH;PT Griptha Putra Persada Tbk.;17/01/2024
GRPM;PT Graha Prima Mentari Tbk.;10/07/2023
GSMF;Equity Development Investment Tbk;23/10/1989
GTBO;Garda Tujuh Buana Tbk;09/07/2009
GTRA;PT Grahaprima Suksesmandiri Tbk;30/03/2023
GTSI;PT GTS Internasional Tbk;08/09/2021
GULA;PT Aman Agrindo Tbk;03/08/2022
GUNA;PT Gunanusa Eramandiri Tbk;09/07/2024
GWSA;PT Greenwood Sejahtera Tbk;23/12/2011
GZCO;Gozco Plantations Tbk;15/05/2008
HADE;PT Himalaya Energi Perkasa Tbk;12/04/2004
HAIS;PT Hasnur Internasional Shipping Tbk;01/09/2021
HAJJ;PT Arsy Buana Travelindo Tbk;05/04/2023
HALO;PT Haloni Jane Tbk;08/02/2023
HATM;PT Habco Trans Maritima Tbk;26/07/2022
HBAT;PT Minahasa Membangun Hebat Tbk;07/08/2023
HDFA;Radana Bhaskara Finance Tbk;10/05/2011
HDIT;PT Hensel Davest Indonesia Tbk;12/07/2019
HEAL;PT Medikaloka Hermina Tbk.;16/05/2018
HELI;PT Jaya Trishindo Tbk;27/03/2018
HERO;PT DFI Retail Nusantara Tbk;21/08/1989
HEXA;Hexindo Adiperkasa Tbk;13/02/1995
HGII;PT Hero Global Investment Tbk;09/01/2025
HILL;PT Hillcon Tbk;01/03/2023
HITS;Humpuss Intermoda Transportasi Tbk;15/12/1997
HKMU;PT HK Metals Utama Tbk;09/10/2018
HMSP;HM Sampoerna Tbk;15/08/1990
HOKI;PT Buyung Poetra Sembada Tbk.;22/06/2017
HOME;Hotel Mandarine Regency Tbk;17/07/2008
HOMI;PT Grand House Mulia Tbk;10/09/2020
HOPE;PT Harapan Duta Pertiwi Tbk.;24/05/2021
HOTL;Saraswati Griya Lestari Tbk;10/01/2013
HRME;PT Menteng Heritage Realty Tbk.;12/04/2019
HRTA;PT Hartadinata Abadi Tbk;21/06/2017
HRUM;Harum Energy Tbk;06/10/2010
HUMI;PT Humpuss Maritim Internasional Tbk;09/08/2023
HYGN;PT Ecocare Indo Pasifik Tbk.;13/02/2024
IATA;PT MNC Energy Investments Tbk;13/09/2006
IBFN;PT Intan Baru Prana Tbk;22/12/2014
IBOS;PT Indo Boga Sukses Tbk;25/04/2022
IBST;Inti Bangun Sejahtera Tbk;31/08/2012
ICBP;Indofood CBP Sukses Makmur Tbk;07/10/2010
ICON;Island Concepts Indonesia Tbk;08/07/2005
IDEA;PT Idea Indonesia Akademi Tbk;09/09/2021
IDPR;PT Indonesia Pondasi Raya Tbk.;10/12/2015
IFII;PT Indonesia Fibreboard Industry Tbk;10/12/2019
IFSH;PT Ifishdeco Tbk.;05/12/2019
IGAR;Champion Pacific Indonesia Tbk;05/11/1990
IIKP;Inti Agri Resources Tbk;14/10/2002
IKAI;Intikeramik Alamasri Industri Tbk;04/06/1997
IKAN;PT Era Mandiri Cemerlang Tbk;12/02/2020
IKBI;Sumi Indo Kabel Tbk;21/01/1991
IKPM;PT Ikapharmindo Putramas Tbk.;08/11/2023
IMAS;Indomobil Sukses Internasional Tbk;15/11/1993
IMJS;PT Indomobil Multi Jasa Tbk.;10/12/2013
IMPC;PT Impack Pratama Industri Tbk;17/12/2014
INAF;Indofarma Tbk.;17/04/2001
INAI;Indal Aluminium Industry Tbk;05/12/1994
INCF;PT Indo Komoditi Korpora Tbk;06/09/2016
INCI;Intanwijaya Internasional Tbk;24/07/1990
INCO;Vale Indonesia Tbk;16/05/1990
INDF;Indofood Sukses Makmur Tbk;14/07/1994
INDO;PT Royalindo Investa Wijaya Tbk;13/01/2020
INDR;PT Indo-Rama Synthetics Tbk;03/08/1990
INDS;Indospring Tbk;10/08/1990
INDX;Tanah Laut Tbk;17/05/2001
INDY;Indika Energy Tbk;11/06/2008
INET;PT Sinergi Inti Andalan Prima Tbk.;24/07/2023
INKP;Indah Kiat Pulp & Paper Tbk;16/07/1990
INOV;PT Inocycle Technology Group Tbk.;10/07/2019
INPC;Bank Artha Graha Internasional Tbk;23/08/1990
INPP;Indonesian Paradise Property Tbk;12/01/2004
INPS;PT Indah Prakasa Sentosa Tbk.;06/04/2018
INRU;Toba Pulp Lestari Tbk;18/06/1990
INTA;Intraco Penta Tbk;23/08/1993
INTD;Inter-Delta Tbk;18/12/1989
INTP;Indocement Tunggal Prakarsa Tbk;05/12/1989
