Kode,Nama Perusahaan,Tanggal Pencatatan
REAL,PT Repower Asia Indonesia Tbk.,06/12/2019
RELF,PT Graha Mitra Asia Tbk.,22/06/2023
RELI,Reliance Sekuritas Indonesia Tbk,13/07/2005
ROTI,PT Nippon Indosari Corpindo Tbk,28/06/2010
RUIS,Radiant Utama Interinsco Tbk,12/07/2006
SAME,Sarana Meditama Metropolitan Tbk,11/01/2013
SAMF,PT Saraswanti Anugerah Makmur Tbk.,31/03/2020
SCMA,Surya Citra Media Tbk,16/07/2002
SDPC,Millennium Pharmacon International Tbk,07/05/1990
SEMA,PT Semacom Integrated Tbk,10/01/2022
SHIP,PT Sillo Maritime Perdana Tbk,16/06/2016
SICO,PT Sigma Energy Compressindo Tbk,08/04/2022
SIDO,PT Industri Jamu Dan Farmasi Sido Muncul Tbk,18/12/2013
SIMP,Salim Ivomas Pratama Tbk,09/06/2011
SMAR,PT Sinar Mas Agro Resources and Technology Tbk,20/11/1992
SMGR,Semen Indonesia (Persero) Tbk,08/07/1991
SMLE,PT Sinergi Multi Lestarindo Tbk,10/01/2024
SMMA,PT Sinar Mas Multiartha Tbk,05/07/1995
SMSM,Selamat Sempurna Tbk,09/09/1996
SNLK,PT Sunter Lakeside Hotel Tbk.,29/03/2021
SOHO,PT Soho Global Health Tbk,08/09/2020
SPMA,Suparma Tbk,16/11/1994
SRTG,PT Saratoga Investama Sedaya Tbk.,26/06/2013
SSIA,PT Surya Semesta Internusa Tbk,27/03/1997
SUNI,PT Sunindo Pratama Tbk,09/01/2023
SWID,PT Saraswanti Indoland Development Tbk,07/07/2022
TAPG,PT Triputra Agro Persada Tbk.,12/04/2021
TBLA,Tunas Baru Lampung Tbk,14/02/2000
TIRT,Tirta Mahakam Resources Tbk,13/12/1999
TKIM,Pabrik Kertas Tjiwi Kimia Tbk,03/04/1990
TLKM,PT Telkom Indonesia (Persero) Tbk,14/11/1995
TOBA,PT TBS Energi Utama Tbk,06/07/2012
TOOL,PT Rohartindo Nusantara Luas Tbk,09/08/2022
TOSK,PT Topindo Solusi Komunika Tbk.,07/02/2024
TOTL,Total Bangun Persada Tbk,25/07/2006
TOWR,Sarana Menara Nusantara Tbk,08/03/2010
TRIM,PT Trimegah Sekuritas Indonesia Tbk,31/01/2000
TRUK,PT Guna Timur Raya Tbk.,23/05/2018
TRUS,Trust Finance Indonesia Tbk,28/11/2002
TSPC,Tempo Scan Pacific Tbk,17/06/1994
TUGU,PT Asuransi Tugu Pratama Indonesia Tbk,28/05/2018
VAST,PT Vastland Indonesia Tbk,08/02/2023
VERN,PT Verona Indah Pictures Tbk,08/10/2024
VICI,PT Victoria Care Indonesia Tbk,17/12/2020
VRNA,PT Mizuho Leasing Indonesia Tbk,25/06/2008
WAPO,Wahana Pronatural Tbk,22/06/2001
WINE,PT Hatten Bali Tbk,10/01/2023
WOOD,PT Integra Indocabinet Tbk,21/06/2017
YOII,PT Asuransi Digital Bersama Tbk,08/01/2025
